Gene,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30
EHHADH-AS1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,0,0,0,0,1,0
EHMT1,2814,2869,2128,310,251,2083,477,317,1229,2622,2272,1815,91,156,314,353,7,3283,2145,2120,0,2583,2900,1880,1052,2671,3478,1930,1524,3450
EHMT2,2168,2323,3422,589,1100,2460,516,482,1430,2988,2497,2401,58,163,62,76,2,4785,1613,1750,56,3070,2066,1212,461,2670,3202,1699,1968,2121
EHMT2-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EI24,633,335,685,330,680,323,51,0,312,716,329,240,1,19,0,63,797,615,399,471,66,730,483,281,261,249,342,301,155,629
EI24P1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
EI24P2,20,14,3,0,0,3,2,0,4,9,23,0,0,0,0,0,0,14,11,5,0,9,17,7,9,10,23,23,4,40
EI24P3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
EI24P4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
EID1,404,335,167,263,86,39,20,9,186,728,120,155,0,0,3,0,11,210,454,816,0,423,686,471,216,100,124,270,211,340
EID2,206,151,68,110,15,84,9,0,64,131,99,53,7,1,4,0,0,38,125,199,0,450,190,94,56,70,107,67,31,99
EID2B,26,40,0,22,11,4,2,0,28,8,25,9,0,2,0,1,3,35,39,14,3,1,27,12,14,34,58,18,10,69
EID3,118,250,322,9,0,375,22,187,120,360,171,37,0,59,31,0,2,236,149,81,0,135,256,280,100,274,380,179,58,91
EIF1,58197,66537,20543,13963,8029,24290,5710,848,25294,55959,21347,30384,957,1255,1481,520,904,19568,33677,42142,2826,21276,70158,96772,136575,80995,75219,52210,51653,64964
EIF1AD,509,689,449,200,193,524,83,22,362,777,425,263,1,1,40,0,1,654,629,474,163,602,561,601,451,686,759,634,548,975
EIF1AX,916,678,294,465,147,417,70,0,220,1263,396,252,2,15,19,5,329,397,614,506,8,962,632,634,582,484,358,301,204,237
EIF1AX-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
EIF1AXP1,145,116,117,8,8,20,10,0,42,71,133,73,0,0,6,0,0,55,28,33,0,25,76,125,113,84,136,37,36,74
EIF1AXP2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
EIF1AY,768,728,1,0,0,1,0,0,458,0,0,494,7,0,2,0,1,0,1,1,0,1,394,1003,0,0,720,274,0,323
EIF1B,2001,1507,711,660,312,1118,254,146,875,1725,729,993,0,58,50,164,0,1275,973,1921,0,1147,1595,2567,2090,1847,1594,1220,898,2072
EIF2A,1797,1553,890,152,170,843,117,0,704,2611,674,384,0,0,10,0,0,766,1198,2319,100,651,1778,1399,686,628,956,858,405,1126
EIF2AK1,2706,2893,1639,876,971,2214,310,10,1191,3097,1280,1344,1,172,22,36,314,2815,2082,3453,74,2807,2962,2979,1946,1777,2637,2070,1843,3983
EIF2AK2,1302,1376,998,4040,1907,121,66,8,352,1225,450,352,3,38,83,4,51,469,1874,1027,506,462,870,4748,6525,1252,859,764,340,1427
EIF2AK3,2736,1426,339,51,7,884,50,82,214,1209,531,211,21,28,54,48,0,495,1601,703,0,2,1069,1260,317,832,815,857,402,573
EIF2AK4,808,593,234,237,128,191,35,78,215,710,242,159,6,33,37,142,920,867,606,885,3,1387,751,657,227,334,621,280,248,793
EIF2AP4,4,6,5,0,0,0,0,0,1,6,2,0,0,0,1,0,0,1,1,2,0,0,3,3,3,3,1,2,0,3
EIF2B1,1200,1198,790,121,154,512,155,1,572,1399,721,518,22,47,53,0,0,1120,1000,1299,0,953,1200,743,599,803,1038,655,431,1405
EIF2B2,451,391,344,26,60,111,50,1,281,487,463,317,2,0,17,0,0,1009,311,530,0,587,578,361,305,297,278,245,243,457
EIF2B3,214,234,147,138,102,53,17,0,145,328,99,76,0,1,5,6,0,246,194,174,0,275,225,127,110,104,181,96,99,161
EIF2B4,903,913,584,414,215,574,193,48,472,876,740,436,27,79,37,367,1,956,591,811,0,575,994,683,386,773,1078,578,543,1092
EIF2B5,2376,2275,1252,436,321,998,229,1,746,1588,1140,594,0,3,46,4,0,1431,1319,1295,256,1206,1937,1305,607,1467,1874,1225,1142,3622
EIF2B5-AS1,0,0,0,3,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
EIF2B5-IT1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
EIF2D,1117,898,635,109,187,1167,80,4,555,932,683,372,1,56,33,0,0,1211,711,1026,3,751,966,565,440,616,819,567,725,1879
EIF2S1,551,514,305,76,149,331,78,0,238,865,239,247,4,0,12,0,188,413,573,652,74,11,758,505,329,233,246,263,167,364
EIF2S2,1157,1075,927,540,581,308,188,4,624,1957,368,761,8,4,28,46,0,583,699,1020,1,621,1135,1072,1376,494,727,454,291,905
EIF2S2P2,11,11,3,2,3,0,0,1,3,16,8,4,0,1,2,5,1,2,5,4,3,5,9,9,10,1,2,6,0,4
EIF2S2P3,13,21,38,1,43,30,0,0,11,12,4,28,0,0,1,4,1,4,10,8,0,0,13,13,10,6,21,6,6,7
EIF2S2P4,141,130,125,52,71,8,21,0,37,146,106,115,1,0,4,20,9,58,23,61,0,116,132,145,197,76,113,41,27,125
EIF2S2P5,0,1,0,0,2,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0
EIF2S3,2469,1992,1021,489,256,753,239,89,808,3959,828,772,18,32,30,18,245,2032,2002,2586,327,1689,1974,2404,1479,1714,1483,1157,1378,2339
EIF2S3L,409,379,176,1,1,33,27,1,91,555,347,65,0,0,0,0,24,396,122,126,15,39,242,325,319,300,324,162,105,371
EIF3A,8382,8498,2509,509,647,3483,498,729,2532,6912,4875,1950,217,551,1239,1213,687,6676,7201,6275,349,6622,7827,6597,1468,4431,6745,6594,1999,2359
EIF3B,3548,4106,3782,1043,1597,3875,912,454,2181,4844,2787,2282,35,224,145,285,195,4554,2455,2843,367,2369,3143,2363,1272,2708,3785,2450,2631,4880
EIF3C,889,684,747,51,184,315,118,53,313,609,492,412,0,6,11,11,5,1181,229,303,110,744,377,488,375,590,915,328,483,1374
EIF3CL,826,670,624,81,200,327,140,23,286,546,516,421,0,11,7,35,20,1512,185,323,24,333,315,433,385,455,749,253,435,2424
EIF3D,7076,6244,4417,1641,1699,3246,824,40,3589,8970,2567,2825,40,350,73,112,326,5788,3690,5349,949,4538,5044,4213,4380,3486,4749,3614,4117,10718
EIF3E,5397,3758,1787,666,1032,2191,338,5,1714,6304,1173,1730,26,34,21,530,619,1788,3480,6215,318,2702,3918,3092,2085,1479,2040,1610,1238,3993
EIF3EP1,502,242,149,5,10,80,30,0,31,220,166,143,0,0,2,2,2,153,86,97,8,71,274,257,199,157,281,95,73,337
EIF3EP2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,1
EIF3F,5779,5957,4514,318,948,3379,495,160,1865,7900,2650,2242,2,122,55,152,1204,4702,2523,3858,756,4528,4029,3631,3224,3663,4218,2557,4260,13172
EIF3FP1,7,7,7,0,1,4,1,0,2,7,22,0,1,0,0,0,0,3,12,12,0,10,6,4,4,3,5,5,8,20
EIF3FP3,774,566,574,86,54,228,109,1,148,656,385,353,0,4,1,0,13,717,201,200,62,331,439,460,525,422,620,213,352,1807
EIF3G,4842,5232,6064,5014,6527,4722,1091,423,3517,8183,3821,7328,242,309,228,2853,1027,8909,3894,6411,748,5579,5166,2792,3077,4160,6354,3460,6347,15040
EIF3H,5629,4925,3441,857,949,3364,490,18,2704,4975,2374,2700,284,205,16,476,150,5589,3478,6845,683,4355,4265,3423,3843,3192,4732,2676,2573,6529
EIF3I,3299,2940,2987,1087,1515,2863,719,198,2442,5178,1498,2018,0,263,57,926,7,3448,1814,2665,558,3771,2082,2061,2367,2300,2755,2044,2345,6067
EIF3IP1,83,63,143,2,4,19,18,0,40,53,52,16,0,0,0,0,0,32,8,2,16,17,28,40,53,61,80,14,30,152
EIF3J,611,441,308,659,398,301,32,213,322,576,159,573,6,19,127,727,1082,312,425,602,180,791,522,517,249,227,200,320,172,306
EIF3J-AS1,253,255,52,368,168,326,23,28,187,273,136,117,2,1,1,7,1,460,125,143,3,79,209,182,113,272,346,156,81,129
EIF3K,5247,5331,3362,3616,3855,2879,792,108,2906,5578,1666,3529,191,186,65,847,2238,4343,2851,6009,595,3167,3684,2468,5270,2315,3566,2834,4235,11930
EIF3KP1,135,130,108,37,42,41,12,0,34,84,71,29,0,0,0,3,550,46,19,22,3,20,50,56,156,73,166,53,72,327
EIF3KP2,20,33,22,6,1,13,4,0,6,8,8,22,0,0,0,1,1,21,5,11,2,5,14,13,18,10,16,3,8,64
EIF3KP3,32,25,10,21,13,0,6,0,6,19,16,44,0,0,0,2,9,10,25,8,2,0,9,11,21,9,15,12,26,43
EIF3L,11026,8680,6416,1613,1998,5115,1469,6,4856,12692,3695,4108,140,172,42,108,651,10463,5049,10642,1053,6295,8585,6082,5371,4879,7650,5019,7248,15608
EIF3LP1,221,134,56,4,3,29,38,0,46,106,143,75,0,0,0,0,1,203,34,78,3,27,131,103,106,112,158,54,72,301
EIF3LP2,223,105,134,13,26,30,10,0,24,101,110,132,1,2,0,1,0,171,32,96,1,37,127,99,86,84,164,45,58,218
EIF3LP3,100,71,44,4,12,58,11,0,31,87,56,111,0,0,0,0,0,36,33,63,4,10,105,78,39,43,105,32,32,99
EIF3M,2662,2174,1347,348,436,1155,224,10,766,3335,590,601,43,97,2,272,99,1056,1636,3020,4,858,2066,1705,1013,806,1263,862,793,2484
EIF4A1,1849,2302,1287,800,639,2172,156,116,1417,1781,2088,2434,215,195,248,294,325,1962,3171,822,250,1514,1995,1391,651,2733,3120,1812,945,745
EIF4A1P1,3,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2,3,0,1,4,1,0,2,1,0,1,3
EIF4A1P10,1425,608,435,45,42,156,60,0,177,599,617,401,0,15,5,37,12,688,341,455,20,205,689,846,694,657,770,288,376,1600
EIF4A1P11,3,3,1,0,1,0,1,0,2,5,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,2,5,0,3,0
EIF4A1P12,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,1,0,0,3,1,1
EIF4A1P13,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,1
EIF4A1P2,382,215,227,51,22,53,28,0,59,207,163,143,0,0,0,1,19,204,92,136,0,37,235,277,162,227,249,68,102,403
EIF4A1P3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,1,2,0,0,1,0,0,0
EIF4A1P5,7,7,2,1,0,0,1,0,3,1,8,3,0,0,0,0,0,10,20,14,0,2,12,12,2,13,6,5,5,9
EIF4A1P6,7,4,4,1,0,1,0,0,0,4,11,13,0,0,0,0,0,7,12,11,0,6,4,4,2,11,7,2,5,15
EIF4A1P7,25,17,6,1,0,2,0,0,5,6,10,12,0,0,0,0,0,10,15,24,0,3,20,22,7,9,14,2,13,14
EIF4A1P8,0,2,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,6,0,1,3,1,0,1,1,3,0,1
EIF4A1P9,11,10,5,0,1,1,0,0,2,18,6,40,0,0,0,0,0,4,6,13,0,12,5,4,3,5,4,2,5,12
EIF4A2,20468,17675,3062,620,574,5837,400,108,3281,9624,6953,2618,101,116,95,105,1,6702,11917,9144,676,3666,17240,16776,8065,10992,12628,8642,2820,4374
EIF4A2P2,31,12,2,0,0,3,0,1,0,10,7,0,1,0,0,0,0,6,10,17,0,4,19,22,6,10,9,10,3,3
EIF4A2P3,38,35,3,0,0,6,0,0,1,9,6,1,0,0,0,0,0,6,10,16,0,3,43,29,10,19,13,11,4,2
EIF4A2P4,675,346,75,4,1,17,27,0,25,174,228,64,0,0,0,0,0,192,112,55,0,20,333,372,255,287,312,96,51,138
EIF4A2P5,19,20,1,0,5,20,0,0,0,12,5,7,0,0,0,0,0,3,6,0,0,0,11,23,4,18,29,4,1,3
EIF4A3,6608,7238,2204,1085,672,6911,585,182,2619,9872,2682,2633,725,247,342,215,1646,7260,5275,3446,299,1076,7182,9681,15208,7125,8418,5353,8097,5817
EIF4B,12279,9542,6071,1021,1327,4322,1074,582,4652,12916,6207,4084,84,451,340,668,553,11300,5943,5007,488,5795,8070,6747,3896,7394,11873,6314,7068,13951
EIF4BP2,24,21,4,0,0,4,2,0,4,11,15,2,0,0,1,0,0,19,2,5,0,5,7,16,6,13,37,5,5,21
EIF4BP3,413,261,213,52,48,85,26,11,94,228,270,106,0,1,4,156,6,371,97,96,0,52,228,244,133,212,322,114,182,441
EIF4BP4,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0,0,5,0,0,0,0,3,1,0
EIF4BP5,21,14,18,1,0,1,2,1,5,16,48,3,0,0,0,0,0,15,10,10,1,4,14,18,10,12,12,9,5,12
EIF4BP6,744,442,386,24,54,151,47,8,141,319,567,171,1,6,16,27,6,701,146,129,7,149,449,402,222,501,774,201,287,863
EIF4BP7,277,180,144,8,15,43,17,5,43,164,208,56,3,10,9,0,6,185,77,95,0,151,164,117,80,165,282,87,107,339
EIF4BP8,13,5,6,0,0,3,0,0,2,7,14,1,0,0,0,0,0,6,7,11,1,36,11,9,0,3,9,7,1,8
EIF4BP9,2,9,0,0,0,0,0,0,3,0,13,0,1,0,0,0,0,3,7,20,2,3,14,2,2,5,5,7,3,2
EIF4E,619,393,165,1606,473,691,24,3,123,483,98,197,1,0,86,182,1004,181,156,209,1,77,223,293,150,223,193,226,68,125
EIF4E1B,1,0,0,0,0,0,0,0,3,0,0,0,1,0,1,1,0,1,0,1,0,2,0,4,1,2,1,2,2,0
EIF4E2,1614,1702,855,506,579,494,174,70,872,2357,601,1106,13,163,14,168,457,1294,1269,2141,261,2486,1632,1754,1203,1032,1215,1085,1034,2108
EIF4E2P1,5,7,2,0,0,0,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,2,1,8,15,4,3,0,3,19
EIF4E3,3000,1874,953,499,179,248,257,104,1100,2240,663,645,9,113,102,70,0,611,1397,3208,263,1068,1555,4676,5186,2070,2706,1329,846,1169
EIF4EBP1,199,175,280,571,631,259,81,63,357,561,203,666,4,7,27,756,404,800,242,700,0,610,316,206,220,184,456,266,397,1170
EIF4EBP1P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EIF4EBP1P2,3,0,3,1,1,0,2,0,1,0,3,2,0,0,1,0,0,3,0,0,0,0,4,5,2,1,5,0,1,8
EIF4EBP2,3527,3425,2131,898,685,318,363,1,1721,4626,1275,1693,4,2,75,0,287,2332,2858,4714,452,4525,3699,4985,4347,2701,3650,2664,2233,3843
EIF4EBP2P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
EIF4EBP3,3,11,0,0,14,57,12,0,18,49,35,47,0,0,0,0,0,101,31,30,0,0,11,3,10,38,35,13,7,14
EIF4ENIF1,681,1086,636,16,80,440,130,4,346,862,529,281,7,3,19,2,0,953,645,705,0,623,938,782,392,887,1085,685,436,1053
EIF4G1,6830,6957,6375,599,756,4021,1159,926,4076,8058,5857,4080,231,207,866,51,1,9437,6025,7054,489,6630,6162,6672,2333,7743,9645,5838,6567,10321
EIF4G2,21324,22500,6518,1024,640,6825,974,845,6078,20694,7364,3525,208,195,496,473,24,9432,15618,20920,1195,7636,23727,29134,14759,13467,17245,13973,8351,15402
EIF4G3,2769,2300,1121,169,257,646,134,22,892,2191,1355,917,204,29,126,478,52,1530,1949,2277,2,1068,2939,3909,10329,2439,2887,1833,806,1271
EIF4H,4852,5109,3512,407,431,2059,722,207,2566,7045,3264,1803,113,64,99,30,570,5505,3670,4256,241,4340,4227,4738,5760,4476,5253,3217,4439,10273
EIF4HP1,228,129,97,11,13,19,34,1,50,115,250,93,0,0,1,0,34,253,85,98,2,73,156,232,281,220,266,118,125,433
EIF4HP2,1,2,0,0,6,0,0,0,0,0,4,1,1,0,0,0,0,27,2,0,0,2,2,3,0,3,2,2,1,1
EIF5,13132,15764,3102,4937,4145,4816,619,133,3836,9938,5633,4726,327,287,620,2213,1847,3068,7934,7152,649,4208,13924,19644,10669,11442,12882,8952,2124,2980
EIF5A,7878,5316,4667,1622,2357,3900,1007,13,2682,9128,3033,3718,204,156,139,1022,501,6196,3956,3807,606,4228,5409,4449,6251,5110,5910,4630,6281,12636
EIF5A2,106,79,28,0,58,8,4,0,51,194,39,8,1,1,0,3,6,26,89,83,1,24,150,90,21,38,43,61,41,28
EIF5AL1,520,332,233,100,85,103,30,35,84,315,205,194,2,3,5,20,2,254,115,93,75,58,224,226,374,240,370,149,224,905
EIF5AP2,15,9,6,14,18,7,0,0,4,25,3,5,0,0,1,1,2,8,17,12,1,5,8,10,9,15,7,14,13,19
EIF5AP3,6,2,1,1,1,0,1,0,10,3,7,0,0,0,0,0,0,4,0,3,0,0,3,13,1,0,4,9,1,1
EIF5AP4,173,91,91,20,23,39,13,0,13,135,69,48,0,3,1,3,0,81,31,28,0,21,100,66,135,78,116,44,75,258
EIF5B,1888,1740,1220,2013,1637,916,217,169,744,1667,871,921,121,165,490,2354,1859,935,1116,806,283,2068,1260,917,464,847,999,1004,362,634
EIF6,739,707,964,1734,1224,570,284,26,790,1290,434,1293,23,22,84,680,928,1667,665,1228,6,1214,622,691,1093,538,914,459,663,1525
ELAC1,62,84,48,29,7,1,17,0,30,80,55,41,1,1,0,0,0,98,69,70,0,0,64,31,20,34,45,35,53,35
ELAC2,1419,1752,1264,147,295,1060,221,4,716,1697,1385,652,12,32,38,0,214,1989,1136,1568,192,666,1624,826,441,1275,1743,970,1007,2799
ELANE,380,42,44,12,358,42,37,4,45,89,5,27,0,1,7,0,0,90,27,480,132,1,54,88,95,66,105,198,68,4072
ELAVL1,1182,1050,1215,263,225,904,150,26,495,1777,752,460,5,75,32,43,2,1509,801,999,52,440,1037,875,664,695,868,665,704,1921
ELAVL2,1,2,0,2,0,0,0,2,2,0,1,0,4,0,1,0,1,0,0,2,0,3,1,0,0,1,0,0,0,0
ELAVL3,2,4,0,4,9,3,0,6,7,6,1,2,43,7,6,1,3,7,4,2,0,1,3,2,0,4,4,6,8,2
ELAVL4,6,2,2,0,2,3,0,9,2,1,1,5,1,4,2,0,0,2,3,3,1,0,0,2,1,1,0,2,4,1
ELF1,6208,6086,1366,217,182,1230,197,24,987,6246,1561,712,74,36,178,306,16,1616,4746,7246,0,2019,5131,10689,12162,3042,3600,3003,2211,4096
ELF2,2126,2169,695,590,821,551,226,136,951,1849,544,793,10,5,117,213,74,300,1151,1280,96,19,1754,3864,2548,1700,2201,1167,517,1434
ELF3,52,101,157,39,19,111,1,1,44,37,58,122,0,1,2,3,1,110,40,89,0,1,58,106,21,119,243,66,38,190
ELF4,5565,4953,5765,712,562,1399,894,157,2957,7700,6195,3642,42,132,176,91,967,7257,3312,4753,1,6086,5068,8311,13394,9105,10350,7631,7466,12699
ELF5,2,0,0,9,9,1,0,6,0,0,0,1,2,4,3,1,2,1,0,2,3,2,2,0,0,0,1,6,4,0
ELFN1,2,7,1,0,1,0,0,4,2,6,7,19,4,2,5,1,0,7,4,1,0,5,10,4,0,0,2,6,30,0
ELFN2,10,23,10,2,0,16,4,7,19,2,41,16,5,3,10,0,0,41,8,17,1,5,15,4,2,12,16,18,8,8
ELK1,838,669,199,2,130,157,88,1,259,711,367,332,5,9,45,56,1,783,567,851,0,1316,638,530,655,548,662,511,595,1792
ELK1P1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0
ELK2AP,3,0,0,0,0,0,1,0,0,0,5,0,0,0,1,0,0,1,1,0,0,0,0,1,0,2,1,0,1,8
ELK2BP,4,3,0,0,0,0,0,0,0,1,3,0,1,0,1,1,0,2,0,1,0,0,1,0,2,0,3,3,2,8
ELK3,1107,987,495,8,64,258,55,19,269,1677,702,151,71,85,42,0,182,1015,1015,1292,1,726,1197,922,334,541,1124,715,654,818
ELK4,1830,1394,193,20,58,323,24,8,211,897,714,138,67,69,28,30,2,428,1349,903,10,762,1193,989,361,549,818,645,274,894
ELL,3214,3227,2443,665,612,693,494,599,1888,2508,1620,4289,114,243,406,206,846,1608,1512,2439,322,2950,2283,5290,2313,6784,8171,3280,2495,4241
ELL2,2962,2109,361,218,99,1242,40,97,319,1941,698,718,14,60,106,0,178,655,1199,730,0,332,1250,2876,1115,1577,1284,1541,1332,2005
ELL2P1,129,74,2,0,6,9,1,0,10,26,31,1,8,0,0,0,0,25,16,11,1,2,35,76,46,57,53,22,20,106
ELL2P2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0
ELL2P3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1
ELL2P4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ELL3,3,7,1,0,0,15,0,0,0,23,9,12,4,0,0,0,0,27,5,5,0,1,3,6,2,5,6,2,4,3
ELMO1,3573,3970,2412,473,827,1243,439,187,1364,4005,1653,1657,80,86,89,287,614,2540,1987,2290,49,2311,2519,4795,1650,3792,4791,3012,2275,4166
ELMO1-AS1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
ELMO2,4044,2382,1476,47,79,1060,192,6,837,2790,1205,608,16,2,31,2,0,1501,1555,1588,55,1332,2272,2802,2982,1928,2664,1369,1105,3476
ELMO2P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,1,1,0,0,0
ELMO3,194,177,144,11,41,41,26,16,151,89,139,145,46,21,2,1,296,66,109,182,0,1,180,161,105,205,170,94,130,110
ELMOD1,2,3,2,16,8,2,2,2,2,0,1,1,0,3,1,0,0,1,0,6,0,1,0,1,1,3,1,2,1,0
ELMOD2,254,239,56,0,18,9,6,2,53,199,56,34,4,47,2,0,0,19,167,371,0,2,256,233,94,73,116,89,30,46
ELMOD3,910,941,624,273,271,512,100,4,580,887,878,749,0,30,37,4,51,742,589,603,232,555,963,821,508,927,1196,627,464,926
ELMSAN1,7445,6018,3279,163,462,2436,486,527,1929,4977,3675,2049,788,608,618,461,178,4968,4584,2711,504,4143,3466,3744,2114,6382,7837,5655,3979,4480
ELN,5,2,1,18,14,0,0,3,5,1,0,14,5,4,5,4,2,3,1,4,0,3,5,3,3,5,3,5,6,4
ELOF1,517,625,1242,1257,1664,1392,491,160,743,1515,777,1742,7,45,63,537,2065,2327,579,817,68,1358,545,461,540,868,1165,645,1001,1656
ELOVL1,1486,1721,2843,1263,934,1172,678,14,1828,3063,1279,2555,23,9,47,287,16,2986,1203,2648,17,2631,1755,1824,1878,2100,2535,1475,1796,3192
ELOVL2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,3,0,1,0,2,0,0
ELOVL2-AS1,0,0,0,1,0,0,0,7,0,0,0,0,2,0,2,1,1,1,0,0,0,1,1,1,0,0,0,3,0,0
ELOVL3,12,5,0,0,0,0,0,0,0,38,22,32,0,0,0,0,0,8,12,48,0,0,18,40,10,7,18,25,16,26
ELOVL4,96,82,27,1,0,0,0,0,16,76,24,0,1,1,0,0,0,54,19,10,0,0,52,50,7,31,38,14,13,30
ELOVL5,4352,3806,1261,261,338,618,256,358,1130,4445,1319,1155,204,347,322,108,0,1625,2605,5816,0,2642,3553,7435,9872,3133,3410,2349,1552,3396
ELOVL6,195,158,44,8,17,4,10,0,51,104,105,73,2,0,7,2,0,66,156,96,0,0,338,92,33,101,106,91,12,28
ELOVL7,64,85,116,47,17,96,5,2,26,102,16,46,2,19,10,2,54,84,60,171,0,0,40,133,82,30,82,54,7,9
ELP2,1443,1549,638,84,182,475,88,34,487,1154,472,362,4,0,14,0,0,669,851,1018,0,223,1010,828,326,623,723,602,333,1114
ELP3,746,804,698,121,142,357,137,0,430,1014,900,516,5,1,1,17,1,1368,577,766,129,873,684,551,302,532,683,456,345,613
ELP4,195,156,103,50,0,80,15,1,103,239,222,87,0,51,0,0,0,318,154,270,243,2,211,145,102,121,106,83,66,226
ELP5,1467,590,520,302,199,442,79,0,393,1104,646,803,3,45,27,0,0,1118,452,734,10,191,623,493,366,569,654,490,705,1323
ELP6,293,489,335,72,213,80,126,1,241,411,272,328,0,31,10,2,13,843,209,283,0,205,309,168,174,230,284,213,312,873
ELSPBP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
ELTD1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,3,0,0
EMB,4270,2622,905,594,235,210,140,3,626,2652,764,557,4,7,43,6,0,887,1830,3076,174,911,2401,5183,1565,1352,1901,1339,523,1116
EMBP1,80,55,7,1,12,2,0,3,2,45,13,3,2,1,0,0,0,21,22,25,0,0,37,92,30,31,46,19,7,33
EMC1,802,855,516,8,68,438,48,4,274,826,647,189,2,143,12,5,5,1128,664,732,0,46,829,508,225,480,613,524,396,1146
EMC10,1255,1084,1259,413,852,1108,339,338,1118,1259,1812,2571,48,68,105,410,2,3330,1495,2400,242,2625,1328,894,612,1128,1236,1137,1243,1798
EMC2,362,225,108,43,34,35,25,0,66,151,108,67,0,0,20,7,0,33,188,391,0,1,252,340,484,112,112,130,42,69
EMC3,2063,1927,2043,1583,2081,2377,537,424,1385,3102,898,1569,6,208,22,445,1829,2155,1072,1650,218,2132,1373,1941,2563,1744,2088,1608,1322,4017
EMC4,763,809,416,329,69,326,110,0,516,646,550,532,1,3,15,1,2,741,530,1020,113,219,814,549,718,566,556,364,555,1227
EMC6,161,207,270,232,161,160,43,0,231,276,239,364,0,6,1,0,10,235,157,306,250,0,219,140,299,191,178,171,139,531
EMC7,831,849,477,137,181,276,103,1,380,1006,397,532,0,2,3,5,46,573,803,1206,4,687,638,716,741,485,614,433,397,1297
EMC8,596,764,286,300,505,490,68,5,350,827,400,560,92,2,27,35,9,725,459,650,0,249,603,486,285,419,487,543,358,1082
EMC9,180,246,311,369,300,308,61,18,139,255,181,252,0,0,72,0,0,211,119,145,0,243,201,173,288,235,246,120,257,393
EMCN,5,4,0,5,1,2,0,0,0,0,0,2,1,1,0,5,0,0,1,2,0,0,4,3,0,0,1,1,1,1
EMCN-IT1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,1,0,1,0,0,0,1,0,0
EMCN-IT2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
EMCN-IT3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
