,T2D_1,T2D_2,T2D_3,T2D_4,T2D_5,HV_1,HV_2,HV_3,HV_4,HV_5
ENSG00000243225,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ENSG00000243230,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000243234,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ENSG00000243243,3.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
ENSG00000243273,2.0,13.0,18.0,0.0,4.0,94.0,37.0,183.0,40.0,2.0
ENSG00000243276,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ENSG00000243296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000243302,119.0,103.0,28.0,186.0,110.0,180.0,150.0,14.0,7.0,56.0
ENSG00000243303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000243304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000243305,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ENSG00000243328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000243345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000243349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000243384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000243385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000243389,2.0,2.0,4.0,0.0,2.0,6.0,12.0,4.0,0.0,1.0
ENSG00000243403,0.0,1.0,3.0,0.0,3.0,1.0,2.0,2.0,0.0,0.0
ENSG00000243415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000243423,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
ENSG00000243433,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
ENSG00000243445,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
ENSG00000243486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000243491,2.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0
ENSG00000243501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000243503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000243507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000243574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000243613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000243620,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000243621,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000243636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000243648,2.0,7.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,3.0
ENSG00000243655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000243659,0.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0
ENSG00000243679,193.0,104.0,95.0,220.0,147.0,170.0,176.0,42.0,10.0,54.0
ENSG00000243695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000243696,26.0,11.0,4.0,9.0,11.0,14.0,14.0,2.0,1.0,5.0
ENSG00000243705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000243733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000243762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000243777,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
ENSG00000243781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000243797,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0
ENSG00000243802,1.0,1.0,1.0,2.0,1.0,5.0,2.0,0.0,0.0,1.0
ENSG00000243813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000243818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000243828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000243829,13331.0,6261.0,6038.0,7929.0,6280.0,7135.0,6974.0,9547.0,6572.0,3384.0
ENSG00000243831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000243861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000243885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000243888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000243903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000243916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000243929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000243939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000243944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000243953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000243960,0.0,2.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,1.0
ENSG00000243969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000243979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000243981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000243995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000244000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000244055,6.0,5.0,4.0,7.0,15.0,11.0,8.0,0.0,0.0,3.0
ENSG00000244061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000244063,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
ENSG00000244076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000244081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000244083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000244086,2.0,0.0,1.0,2.0,7.0,2.0,1.0,0.0,0.0,0.0
ENSG00000244113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000244125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000244137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000244146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000244151,3.0,0.0,3.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0
ENSG00000244167,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
ENSG00000244176,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000244192,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000244193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000244237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000244245,8.0,3.0,6.0,2.0,5.0,4.0,0.0,0.0,0.0,0.0
ENSG00000244251,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000244255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000244260,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000244266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000244268,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000244278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000244281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000244310,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000244313,2080.0,773.0,705.0,808.0,668.0,672.0,539.0,572.0,571.0,441.0
ENSG00000244327,2.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0
ENSG00000244331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000244332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000244337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000244345,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
ENSG00000244349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000244358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000244380,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ENSG00000244436,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ENSG00000244459,24.0,6.0,12.0,5.0,14.0,39.0,37.0,41.0,26.0,11.0
ENSG00000244464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000244480,8.0,2.0,1.0,2.0,2.0,15.0,4.0,0.0,0.0,5.0
ENSG00000244491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000244510,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000244535,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
ENSG00000244545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000244550,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000244559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000244560,17.0,13.0,5.0,12.0,15.0,36.0,14.0,0.0,3.0,12.0
ENSG00000244593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000244604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000244619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000244620,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
ENSG00000244630,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000244650,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000244652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000244657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000244662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000244669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000244675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ENSG00000244676,3.0,0.0,2.0,5.0,2.0,6.0,0.0,0.0,0.0,0.0
ENSG00000244693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000244701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000244706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000244733,6.0,7.0,0.0,1.0,1.0,11.0,3.0,2.0,0.0,0.0
ENSG00000244738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000244756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000244757,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ENSG00000244791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000244952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000244953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000244998,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000245008,0.0,8.0,4.0,4.0,4.0,1.0,0.0,0.0,0.0,6.0
ENSG00000245025,9.0,7.0,7.0,5.0,15.0,24.0,11.0,10.0,0.0,13.0
ENSG00000245059,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000245156,6.0,11.0,1.0,8.0,9.0,11.0,14.0,3.0,3.0,6.0
ENSG00000245261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000245385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000245482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000245651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000245667,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
ENSG00000245688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000245748,14.0,7.0,1.0,4.0,7.0,14.0,3.0,1.0,0.0,2.0
ENSG00000245768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000245869,6.0,0.0,4.0,22.0,8.0,6.0,2.0,0.0,0.0,2.0
ENSG00000246090,4.0,0.0,1.0,1.0,6.0,12.0,1.0,0.0,0.0,1.0
ENSG00000246130,3.0,1.0,2.0,0.0,4.0,2.0,9.0,2.0,2.0,3.0
ENSG00000246203,5.0,2.0,1.0,4.0,3.0,14.0,5.0,0.0,0.0,1.0
ENSG00000246225,0.0,0.0,1.0,0.0,3.0,4.0,4.0,0.0,0.0,1.0
ENSG00000246250,4.0,7.0,2.0,5.0,9.0,7.0,7.0,0.0,0.0,1.0
ENSG00000246308,2.0,3.0,0.0,0.0,4.0,3.0,1.0,1.0,0.0,0.0
ENSG00000246316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000246331,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ENSG00000246465,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0
ENSG00000246477,21.0,20.0,6.0,27.0,36.0,14.0,18.0,2.0,0.0,2.0
ENSG00000246575,48.0,33.0,13.0,52.0,39.0,139.0,77.0,2.0,7.0,25.0
ENSG00000246596,9.0,11.0,7.0,14.0,20.0,21.0,9.0,0.0,0.0,1.0
ENSG00000246792,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ENSG00000246851,4.0,9.0,0.0,5.0,4.0,11.0,0.0,0.0,0.0,5.0
ENSG00000247011,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,4.0
ENSG00000247033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000247049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000247121,24.0,11.0,20.0,17.0,11.0,44.0,19.0,17.0,16.0,18.0
ENSG00000247130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000247131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000247134,15.0,7.0,22.0,11.0,12.0,24.0,15.0,2.0,7.0,2.0
ENSG00000247193,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000247228,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
ENSG00000247311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000247324,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
ENSG00000247345,10.0,3.0,1.0,2.0,7.0,4.0,1.0,6.0,1.0,0.0
ENSG00000247372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000247402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000247416,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0
ENSG00000247679,20.0,14.0,7.0,25.0,38.0,61.0,26.0,2.0,0.0,9.0
ENSG00000247765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000247810,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000247853,8.0,1.0,9.0,12.0,8.0,8.0,1.0,0.0,0.0,3.0
ENSG00000247903,1.0,0.0,0.0,1.0,2.0,5.0,5.0,1.0,0.0,0.0
ENSG00000247925,0.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0
ENSG00000247934,6.0,0.0,2.0,2.0,4.0,5.0,3.0,0.0,0.0,8.0
ENSG00000247970,5.0,0.0,3.0,3.0,1.0,1.0,1.0,5.0,0.0,1.0
ENSG00000248015,1.0,0.0,2.0,3.0,0.0,5.0,0.0,0.0,0.0,5.0
ENSG00000248029,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000248100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000248101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000248103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000248105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000248106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000248112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000248114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000248115,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ENSG00000248120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000248125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000248126,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
ENSG00000248128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000248134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000248137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000248138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000248145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000248148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000248155,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ENSG00000248160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000248161,0.0,2.0,3.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0
ENSG00000248165,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
ENSG00000248170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000248172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000248176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000248185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000248187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000248195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000248196,0.0,0.0,0.0,3.0,0.0,5.0,1.0,0.0,0.0,0.0
ENSG00000248199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000248200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000248203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000248206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000248209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000248223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000248229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000248234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000248235,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000248236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000248237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000248240,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ENSG00000248242,0.0,3.0,1.0,1.0,0.0,1.0,2.0,3.0,0.0,0.0
ENSG00000248245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000248249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000248254,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0
ENSG00000248261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000248262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000248266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000248268,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
ENSG00000248281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000248285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000248286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000248288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000248293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000248296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000248305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000248308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000248311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000248317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000248318,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0
ENSG00000248322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000248335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000248337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000248343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000248346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000248347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000248349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000248350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000248356,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0
ENSG00000248358,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
ENSG00000248359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000248362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000248363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000248367,0.0,3.0,5.0,1.0,1.0,5.0,1.0,1.0,0.0,0.0
ENSG00000248369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000248373,0.0,2.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0
ENSG00000248375,1.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
ENSG00000248376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000248378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000248387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000248388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000248393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000248399,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ENSG00000248401,0.0,1.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,1.0
ENSG00000248406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000248416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000248417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000248419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000248422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000248423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000248425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000248426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000248428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000248431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000248432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000248434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000248440,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000248443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000248447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
