Gene,HC1,HC2,HC3,HC4,HC5,T2DM1,T2DM2,T2DM3,T2DM4,T2DM5
ARL8B,4.55,21.12,10.54,23.18,6.12,7.5,10.23,22.25,20.34,8.49
ARL9,0.06,0.19,0.08,0.06,0.04,0.41,0.22,0.31,0.17,0.28
ARMC1,2.0,3.25,5.27,3.32,5.37,2.87,3.59,3.79,2.51,5.72
ARMC10,1.83,4.27,3.91,3.51,2.53,3.56,2.64,3.48,2.9,2.95
ARMC12,0.4,0.33,0.6,0.34,0.15,0.47,0.47,0.13,0.26,0.31
ARMC2,1.16,2.58,1.09,2.18,1.02,4.35,1.65,5.69,2.54,3.29
ARMC3,0.58,0.79,1.76,2.35,0.35,2.03,1.02,5.86,4.56,0.45
ARMC4,0.09,0.03,0.05,0.02,0.0,0.02,0.03,0.0,0.04,0.0
ARMC5,2.17,3.7,3.2,3.07,5.28,3.27,4.34,3.67,6.38,4.07
ARMC6,5.95,9.13,13.05,8.54,14.24,12.02,16.87,8.02,10.37,8.89
ARMC7,13.8,11.89,11.46,7.99,15.77,18.65,16.83,12.08,15.71,13.93
ARMC8,9.53,9.79,10.5,17.49,8.38,8.71,14.13,16.16,12.91,10.53
ARMC9,0.08,0.25,0.18,0.22,0.18,0.2,0.18,0.27,0.17,0.1
ARMCX1,0.26,0.24,0.4,0.14,0.76,0.39,0.58,0.22,0.43,0.47
ARMCX2,0.38,0.63,1.41,0.32,1.56,0.58,0.97,1.05,1.04,0.82
ARMCX3,6.46,6.71,7.42,9.53,4.51,6.84,8.14,7.83,3.36,5.46
ARMCX4,0.61,2.97,1.14,1.68,1.27,0.78,1.14,0.86,1.51,1.37
ARMCX5,0.96,1.63,3.01,1.9,2.89,2.1,3.36,2.88,1.86,2.44
ARMCX6,25.24,28.17,39.67,51.59,36.34,32.95,37.55,47.17,37.81,26.59
ARMT1,0.91,1.3,0.65,1.1,0.98,0.94,2.64,3.0,2.63,1.47
ARNT,46.42,41.45,44.6,27.29,60.18,38.01,29.53,29.78,34.26,37.04
ARNT2,0.19,0.02,0.0,0.06,0.03,0.06,0.12,0.2,0.01,0.18
ARNTL,26.93,20.93,11.89,9.43,8.38,30.83,27.82,29.96,19.87,31.89
ARNTL2,0.92,0.22,0.24,2.73,1.39,0.1,1.43,0.89,0.83,0.96
ARPC1A,24.29,23.83,23.75,24.19,24.08,23.14,19.46,20.52,23.39,24.81
ARPC1B,681.64,543.15,741.05,867.75,768.32,594.9,441.25,445.6,513.89,467.31
ARPC2,428.76,432.67,341.73,303.57,299.95,297.73,262.26,305.21,316.3,354.15
ARPC3,244.54,231.16,164.84,233.94,141.37,169.13,189.69,293.45,275.35,279.14
ARPC4,214.81,192.56,179.09,212.31,186.69,187.05,148.88,178.99,211.14,171.66
ARPC4-TTLL3,19.1,14.9,9.23,9.22,8.62,31.29,16.94,24.32,10.86,18.33
ARPC5,125.07,128.05,105.42,112.07,96.41,85.23,81.03,103.24,110.86,128.59
ARPC5L,7.73,13.54,16.2,15.35,13.01,10.3,11.48,10.06,10.34,12.15
ARPIN,6.38,5.71,9.43,4.74,19.46,7.9,3.91,4.05,3.39,8.02
ARPP19,7.6,23.84,14.22,27.18,6.4,8.59,34.69,28.67,29.64,11.6
ARPP21,0.0,0.43,0.03,0.0,0.0,0.06,0.01,0.09,0.05,0.02
ARR3,0.0,0.13,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0
ARRB1,81.98,112.93,114.93,115.4,154.38,131.75,94.9,97.26,129.72,110.99
ARRB2,1245.6,863.63,564.38,646.45,677.81,668.32,426.33,670.14,677.04,710.14
ARRDC1,32.01,37.16,33.86,32.28,45.68,47.29,35.18,44.19,41.23,34.2
ARRDC2,9.98,19.15,18.01,20.85,22.26,22.81,20.49,17.85,31.14,21.74
ARRDC3,20.46,19.66,6.27,14.97,6.63,28.6,45.41,45.01,25.65,28.85
ARRDC3-AS1,6.84,4.59,2.26,3.85,2.73,10.11,10.62,7.24,4.88,7.18
ARRDC4,2.0,2.82,1.75,1.93,1.64,1.75,2.52,2.32,2.53,3.49
ARRDC5,0.99,1.67,3.5,1.54,4.04,2.45,1.72,1.44,2.71,3.24
ARSA,33.9,25.17,21.48,26.13,23.91,43.61,29.86,25.93,32.41,40.45
ARSB,9.46,11.92,11.02,13.31,13.43,7.07,6.15,5.88,5.95,8.38
ARSD,23.39,9.76,10.23,15.22,12.99,6.83,7.46,6.19,8.85,7.62
ARSE,0.28,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0
ARSG,25.34,29.54,16.38,14.52,19.62,33.09,21.07,30.53,21.14,26.11
ARSH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARSI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARSJ,0.01,0.01,0.01,0.01,0.0,0.02,0.06,0.07,0.0,0.04
ARSK,0.44,0.72,0.86,0.51,0.62,1.65,1.33,1.37,0.85,1.18
ART1,0.09,0.1,0.0,0.0,0.0,0.11,0.0,0.05,0.03,0.09
ART3,0.06,0.0,0.0,0.11,0.04,0.02,0.02,0.03,0.02,0.02
ART4,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.01,0.02,0.03
ART5,0.0,0.0,0.0,0.0,0.0,0.06,0.12,0.0,0.03,0.12
ARTN,0.0,0.13,0.02,0.08,0.3,0.0,0.0,0.18,0.0,0.0
ARV1,1.41,2.88,2.51,2.78,2.76,1.95,2.19,2.57,1.92,3.1
ARVCF,0.35,0.62,1.02,0.75,1.72,0.91,2.26,1.7,1.43,2.4
ARX,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0
AS3MT,0.0,0.0,0.0,0.27,0.0,0.55,0.0,0.0,0.0,0.0
ASAH1,67.16,70.99,49.44,101.05,49.18,68.2,65.99,78.4,54.08,62.99
ASAH2,0.0,0.03,0.02,0.08,0.4,0.01,0.11,0.45,0.21,0.04
ASAH2B,0.0,0.04,0.02,0.06,0.01,0.02,0.21,0.15,0.04,0.09
ASAP1,55.07,63.83,30.77,56.02,33.31,80.51,36.4,55.03,41.09,59.92
ASAP1-IT2,1.37,1.55,0.69,0.54,0.57,1.73,0.97,1.14,0.67,1.37
ASAP2,11.16,4.9,10.57,19.56,9.02,4.55,6.81,7.8,6.29,7.97
ASAP3,0.17,0.16,0.46,1.13,0.51,0.28,0.46,0.86,0.48,0.78
ASB1,7.67,9.24,10.1,8.67,9.37,10.55,8.62,5.78,9.97,7.15
ASB11,0.06,0.04,0.0,0.03,0.08,0.2,0.05,0.07,0.05,0.05
ASB12,0.0,0.0,0.0,0.1,0.03,0.0,0.11,0.03,0.1,0.09
ASB13,4.26,8.51,4.21,4.65,6.55,5.47,3.44,4.07,5.29,4.74
ASB14,0.1,0.08,0.07,0.12,0.02,0.07,0.06,0.09,0.06,0.03
ASB15,0.01,0.02,0.0,0.01,0.0,0.0,0.0,0.02,0.0,0.01
ASB16,0.25,0.48,0.42,0.24,0.42,0.62,0.54,0.34,0.6,0.83
ASB18,0.04,0.0,0.04,0.01,0.03,0.09,0.05,0.08,0.01,0.03
ASB2,1.71,1.84,1.48,1.31,1.95,3.21,3.87,3.12,2.47,1.79
ASB3,4.61,7.45,6.99,4.93,3.78,6.79,6.23,7.54,6.03,8.61
ASB4,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.0,0.0
ASB6,11.84,15.15,16.42,12.94,18.65,15.59,12.63,12.71,16.04,14.3
ASB7,4.98,5.48,3.83,3.7,3.15,5.93,5.38,5.75,4.57,5.72
ASB8,28.03,26.49,22.19,30.45,32.17,21.77,26.5,38.12,28.73,27.9
ASB9,0.53,0.86,0.33,0.2,0.27,1.53,0.05,0.69,0.48,0.29
ASCC1,8.04,8.65,8.76,8.29,10.83,7.94,10.34,10.99,7.57,9.09
ASCC2,22.69,39.69,46.26,34.48,49.18,32.31,47.39,37.42,32.27,34.54
ASCC3,1.06,2.35,2.81,3.18,1.95,1.4,3.83,3.02,2.4,2.55
ASCL1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
ASCL2,1.96,2.72,2.68,2.44,5.85,4.03,2.98,2.95,2.63,4.68
ASCL3,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASCL4,0.0,0.03,0.0,0.03,0.04,0.0,0.0,0.01,0.04,0.0
ASCL5,0.0,0.08,0.14,0.02,0.17,0.25,0.1,0.08,0.11,0.16
ASF1A,1.21,2.89,4.7,3.53,3.76,2.83,4.09,4.57,3.01,4.47
ASF1B,9.2,16.31,3.82,7.05,6.04,10.76,6.05,9.76,10.09,12.41
ASGR1,11.52,14.75,11.84,12.75,23.99,10.36,11.72,7.3,8.25,6.65
ASGR2,43.98,28.14,49.81,37.82,83.05,29.58,15.74,8.41,20.54,16.61
ASH1L,5.47,8.06,6.1,7.03,5.41,9.0,6.98,7.39,5.83,10.07
ASH2L,19.99,18.72,22.31,16.28,23.8,19.77,18.49,18.83,19.71,19.33
ASH2LP1,0.0,0.0,0.04,0.0,0.04,0.0,0.08,0.0,0.0,0.0
ASIC1,0.1,0.12,0.07,0.01,0.09,0.06,0.12,0.57,0.39,0.16
ASIC2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASIC3,0.46,0.83,1.2,0.79,1.61,0.77,0.46,0.49,0.92,0.43
ASIC4,0.05,0.01,0.0,0.05,0.07,0.01,0.03,0.01,0.03,0.03
ASIP,0.07,0.0,0.15,0.0,0.07,0.0,0.15,0.22,0.0,0.0
ASL,8.36,10.05,8.18,14.23,11.65,11.04,10.56,11.07,9.67,12.37
ASMT,0.21,0.26,0.24,0.23,0.5,0.25,0.24,0.11,0.21,0.2
ASMTL,14.62,16.04,18.4,16.39,22.34,18.39,15.04,14.48,17.15,14.96
ASNA1,52.93,69.25,79.12,86.71,105.66,67.43,66.28,57.81,65.4,51.9
ASNS,2.76,2.79,3.98,6.35,2.25,4.42,2.25,4.74,2.0,2.5
ASNSD1,0.75,1.85,1.91,1.65,1.64,1.42,3.21,4.95,4.7,2.97
ASNSP1,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASPA,0.0,0.02,0.01,0.02,0.0,0.02,0.0,0.01,0.01,0.0
ASPDH,1.33,1.02,1.31,0.21,1.76,0.87,1.38,0.76,1.46,1.58
ASPG,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0
ASPH,11.7,15.08,9.23,13.77,9.62,10.83,8.13,12.34,8.32,9.33
ASPHD1,0.05,0.18,0.15,0.0,0.38,0.24,0.1,0.13,0.1,0.13
ASPHD2,2.84,3.82,6.13,5.69,6.49,4.67,3.33,4.26,6.21,3.31
ASPM,0.04,0.05,0.14,0.35,0.04,0.1,0.11,0.18,0.17,0.05
ASPN,0.0,0.04,0.0,0.0,0.0,0.0,0.02,0.06,0.0,0.03
ASPRV1,4.45,2.14,0.13,0.35,0.39,2.53,2.48,2.28,4.36,1.3
ASPSCR1,5.0,9.15,11.96,8.88,14.87,11.54,12.03,10.86,12.0,10.83
ASRGL1,6.13,10.77,9.77,8.06,10.14,6.99,3.76,4.35,4.42,6.49
ASS1,0.17,0.08,0.06,2.88,0.0,0.33,0.06,0.36,0.15,0.34
ASS1P5,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASTE1,1.37,1.94,3.41,1.08,2.48,3.39,4.18,2.95,2.26,2.52
ASTL,0.08,0.4,0.08,0.32,0.03,0.1,0.25,0.31,0.2,0.3
ASTN2,0.4,0.56,0.9,0.51,0.68,1.27,0.87,0.96,0.64,0.93
ASXL1,11.08,18.9,27.28,18.24,25.41,19.27,18.75,16.33,21.73,22.0
ASXL2,6.3,6.72,7.03,7.68,6.45,9.12,7.6,9.2,7.41,14.25
ASXL3,0.01,0.0,0.02,0.01,0.0,0.03,0.01,0.03,0.01,0.0
ASZ1,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0
ATAD1,1.29,1.7,1.8,2.03,1.91,1.42,3.53,3.38,1.94,2.45
ATAD2,0.77,1.26,1.3,1.61,0.89,0.73,1.43,1.69,1.12,1.35
ATAD2B,4.78,6.42,4.47,6.04,4.57,6.67,6.23,7.25,5.21,6.41
ATAD3A,1.84,4.41,5.47,4.65,5.69,3.97,5.02,2.87,4.42,5.66
ATAD3B,1.94,5.17,5.76,3.97,6.53,5.03,5.04,5.8,5.97,4.63
ATAD3C,0.04,0.12,0.27,0.48,0.2,0.26,0.11,0.24,0.71,0.19
ATAD5,0.2,0.37,0.44,0.44,0.32,0.35,0.36,0.62,0.63,0.28
ATAT1,1.79,2.55,2.93,1.65,2.66,2.61,1.71,2.76,3.09,2.53
ATCAY,0.28,0.2,0.19,0.08,0.15,0.67,0.22,0.4,0.19,0.38
ATE1,5.77,5.43,7.12,12.19,4.89,4.34,6.59,7.3,8.18,6.8
ATF1,6.72,9.79,12.0,8.29,7.91,7.09,11.86,16.66,8.36,13.03
ATF2,26.72,29.2,24.37,31.54,26.27,23.31,28.83,36.27,27.41,27.44
ATF3,11.71,13.27,2.36,10.69,3.21,6.4,19.2,25.22,23.54,6.52
ATF4,186.35,209.05,202.42,431.59,217.55,183.59,179.27,284.19,285.27,176.61
ATF4P1,0.03,0.05,0.03,0.02,0.05,0.05,0.04,0.03,0.02,0.11
ATF4P2,0.03,0.05,0.03,0.02,0.05,0.05,0.04,0.03,0.02,0.11
ATF4P3,0.06,0.1,0.68,0.03,0.14,0.11,0.0,0.1,0.03,0.26
ATF5,9.44,14.77,15.06,20.72,24.11,16.28,15.84,13.22,16.32,11.56
ATF6,17.26,15.22,9.69,9.85,8.3,12.06,9.8,14.58,13.11,16.85
ATF6B,73.54,97.75,54.96,85.9,131.24,100.9,60.58,63.69,79.53,92.05
ATF7,17.33,21.17,26.1,21.06,23.1,21.12,14.34,16.97,18.07,22.16
ATF7IP,15.6,19.35,19.67,18.73,11.06,26.89,17.37,26.95,21.06,29.22
ATF7IP2,2.99,8.75,12.93,13.78,8.5,7.69,9.45,13.3,11.35,7.64
ATG10,1.99,2.15,3.0,1.81,1.97,3.57,3.36,2.87,1.75,2.96
ATG101,23.93,33.77,39.7,31.58,49.93,35.53,38.9,34.03,39.13,27.23
ATG12,3.63,7.29,4.19,5.61,3.65,5.13,5.9,10.97,8.53,7.98
ATG13,49.01,52.65,56.58,46.37,65.01,57.75,42.25,48.59,53.51,59.71
ATG14,1.15,2.38,2.22,1.31,1.83,1.2,1.09,1.23,1.26,1.77
ATG16L1,8.12,7.75,11.71,9.18,10.49,13.16,14.48,11.59,11.32,12.27
ATG16L2,173.22,199.04,54.23,72.81,69.53,266.01,112.83,211.05,150.64,220.37
ATG2A,30.0,28.08,9.24,18.99,12.13,35.2,31.3,53.44,37.15,49.63
ATG2B,2.35,2.56,2.64,1.95,1.84,3.49,4.33,3.04,1.3,4.45
ATG3,57.99,67.03,57.57,42.84,39.19,30.85,29.24,42.93,32.14,43.57
ATG4A,2.41,2.6,2.76,3.24,2.8,1.17,2.55,3.34,2.28,3.02
ATG4B,38.8,51.62,40.4,42.02,56.11,53.56,29.56,44.51,49.3,40.61
ATG4C,2.39,2.83,2.89,5.42,3.92,2.48,4.39,6.65,4.54,2.92
ATG4D,20.09,16.26,13.92,19.18,18.11,20.91,23.43,21.38,19.74,18.71
ATG5,1.19,1.94,2.7,2.29,1.91,1.91,3.62,6.0,4.14,3.67
ATG7,49.58,53.3,39.62,39.94,56.48,68.03,38.89,56.1,35.66,41.01
ATG9A,33.15,18.38,21.08,17.9,25.45,27.38,25.29,21.29,26.87,26.27
ATG9B,0.69,2.58,4.06,0.99,5.13,3.82,3.65,3.88,4.53,3.42
ATHL1,47.46,42.87,9.09,14.52,17.36,96.95,55.8,71.2,54.22,106.4
ATIC,5.91,14.57,29.58,13.76,32.47,15.26,17.77,18.66,21.05,18.2
ATL1,0.62,0.73,1.13,2.53,0.99,0.82,0.67,1.06,1.45,1.27
ATL2,2.44,4.6,5.48,3.42,3.64,3.69,4.6,6.56,4.15,4.07
ATL3,5.0,7.07,9.13,10.38,6.15,5.76,6.98,7.15,6.19,9.09
ATM,6.2,16.64,18.88,8.85,10.83,11.38,24.91,22.43,15.76,18.69
ATMIN,3.67,6.72,6.37,6.76,5.57,4.95,5.17,4.05,4.56,7.59
ATN1,6.71,9.61,14.0,12.46,17.38,11.25,12.92,7.31,13.55,12.04
ATOH8,1.45,0.82,0.27,1.32,0.65,0.56,1.16,0.91,1.72,0.13
ATOX1,43.99,39.84,67.13,87.14,69.98,49.22,36.15,38.71,39.8,43.54
ATP10A,1.2,2.48,5.2,3.22,5.5,3.84,3.65,2.37,5.08,4.83
ATP10B,0.04,0.06,0.07,0.07,0.08,0.1,0.0,0.1,0.08,0.07
ATP10D,4.8,6.96,5.65,4.99,5.94,5.79,5.11,8.18,4.02,8.96
ATP11A,45.33,33.82,18.24,22.75,20.72,38.08,15.92,22.47,25.38,38.0
ATP11AUN,0.0,0.04,0.0,0.04,0.0,0.03,0.02,0.0,0.04,0.05
ATP11B,12.97,14.0,5.88,9.13,3.74,12.98,13.83,15.7,11.67,13.73
ATP11C,1.82,1.69,2.48,3.91,1.45,3.49,4.07,3.12,2.83,2.59
ATP12A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATP13A1,33.78,42.97,53.96,80.17,64.34,53.08,55.79,34.04,48.3,41.94
ATP13A2,15.45,21.18,32.11,22.02,39.5,25.82,23.66,14.55,25.57,23.74
ATP13A3,1.87,2.54,2.24,3.74,1.03,2.74,2.56,5.71,3.86,4.26
ATP13A4,0.26,0.13,0.54,0.56,0.24,0.38,0.45,0.28,0.07,0.22
ATP13A5,0.0,0.06,0.0,0.0,0.0,0.0,0.02,0.01,0.0,0.0
ATP1A1,54.0,72.84,113.37,72.0,109.97,77.2,67.37,66.19,76.13,77.35
ATP1A1OS,0.73,0.78,0.92,0.84,0.89,0.81,1.01,1.5,0.93,1.0
ATP1A2,0.06,0.13,0.02,0.06,0.04,0.01,0.0,0.06,0.01,0.04
ATP1A3,2.48,4.47,3.64,2.52,4.18,4.07,5.67,3.27,3.87,6.01
ATP1A4,0.39,0.52,0.0,0.19,0.35,0.19,0.03,0.03,0.15,0.09
ATP1B1,0.42,1.49,0.91,2.14,1.03,0.73,0.91,1.12,0.84,0.66
ATP1B2,0.33,0.6,1.35,0.61,0.8,0.12,0.1,0.23,0.55,0.48
ATP1B3,10.36,16.05,20.76,21.95,13.08,11.02,12.67,11.91,13.25,18.0
ATP1B3P1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATP1B4,0.01,0.05,0.02,0.06,0.03,0.04,0.06,0.03,0.07,0.06
ATP23,3.67,7.14,2.61,3.26,3.77,3.78,2.16,5.07,3.53,2.16
ATP2A1,0.3,0.49,0.24,0.27,0.09,1.07,0.42,1.28,0.35,0.79
ATP2A2,17.82,21.04,28.58,22.67,23.84,17.14,11.13,9.45,16.22,18.83
ATP2A3,154.02,105.91,120.22,202.88,113.78,143.74,128.96,101.47,152.55,150.18
ATP2B1,5.59,11.83,6.71,8.88,5.68,9.33,13.64,15.77,10.25,19.62
ATP2B2,0.08,0.04,0.01,0.12,0.04,0.02,0.02,0.03,0.01,0.09
ATP2B3,0.18,0.01,0.02,0.01,0.02,0.0,0.01,0.01,0.0,0.0
ATP2B4,37.82,31.25,35.6,14.61,25.75,21.12,17.88,17.88,18.75,33.16
ATP2C1,3.16,6.07,5.21,9.82,4.46,5.79,6.39,6.7,6.55,5.31
ATP2C2,1.62,0.0,0.31,1.59,0.2,0.88,0.29,0.98,0.64,0.28
ATP4A,0.02,0.03,0.0,0.0,0.0,0.04,0.02,0.03,0.0,0.04
ATP4B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATP5A1,44.9,73.71,93.06,93.16,99.87,66.88,55.31,64.11,56.73,67.25
ATP5A1P1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09
ATP5A1P3,0.0,0.07,0.0,0.0,0.04,0.0,0.02,0.0,0.02,0.0
ATP5B,101.36,155.89,186.46,151.39,193.95,130.74,128.93,131.84,134.45,119.44
ATP5C1,58.19,85.05,88.25,108.2,96.75,61.19,95.0,83.14,88.91,60.06
ATP5D,37.92,72.42,100.03,88.7,112.97,92.59,66.88,59.6,67.74,62.46
ATP5E,24.64,26.72,32.01,34.7,28.07,25.49,26.35,37.96,29.48,27.59
ATP5F1,41.93,75.87,87.35,81.64,59.26,50.41,77.99,79.75,50.27,59.41
ATP5G1,20.0,32.04,44.62,37.03,46.07,41.69,34.0,41.19,34.75,35.89
ATP5G2,206.83,303.39,387.56,403.24,512.89,385.43,305.27,318.55,325.16,272.67
ATP5G3,23.33,30.79,44.27,39.0,56.58,41.96,46.22,44.98,39.58,27.76
ATP5H,62.78,84.0,110.52,94.04,100.19,68.75,71.64,77.5,79.76,67.98
ATP5HP1,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0
ATP5I,56.28,78.47,96.6,102.46,116.73,82.72,73.99,85.33,80.38,67.36
ATP5J,23.22,44.15,59.55,61.75,47.0,32.51,23.75,36.92,29.9,35.01
ATP5J2,223.11,301.46,440.2,363.51,477.06,266.8,236.23,229.57,224.14,199.68
ATP5J2-PTCD1,0.03,0.11,1.34,0.27,0.8,1.35,1.71,0.0,0.7,0.43
ATP5J2LP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATP5J2P6,0.69,0.0,0.0,0.0,0.0,0.81,0.0,0.0,0.0,0.0
ATP5L,54.28,63.51,72.44,88.99,69.81,60.49,69.57,71.81,56.97,49.17
ATP5L2,0.13,0.14,0.15,0.42,0.05,0.4,0.25,0.24,0.42,0.16
ATP5O,27.53,37.94,48.41,50.7,49.62,37.76,49.11,56.59,38.52,50.54
ATP5S,1.25,3.24,2.6,4.65,2.9,3.13,3.0,3.33,3.22,2.1
ATP5SL,13.64,19.69,26.2,18.34,32.78,20.2,16.66,14.64,17.25,14.01
ATP6AP1,79.59,69.4,63.69,73.67,76.37,67.7,47.51,43.09,62.39,55.59
ATP6AP1L,0.06,0.26,0.04,0.15,0.22,0.49,0.17,0.19,0.4,0.13
ATP6AP2,102.39,129.9,104.76,111.04,97.58,60.94,57.82,61.26,51.51,111.15
ATP6V0A1,56.79,50.18,51.2,51.49,56.85,48.28,26.36,29.44,35.43,46.18
ATP6V0A2,6.25,9.46,9.07,6.52,8.87,8.75,7.71,6.91,7.24,9.94
ATP6V0A4,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.03
ATP6V0B,133.82,126.86,50.99,67.19,77.12,90.26,84.84,111.92,126.8,113.03
ATP6V0C,295.99,335.88,438.49,410.21,423.6,329.81,234.68,229.39,304.47,236.82
ATP6V0CP1,0.62,0.21,0.84,0.6,0.41,0.29,0.43,0.2,0.53,0.38
ATP6V0D1,532.64,436.34,396.66,363.7,487.68,305.78,227.8,256.4,328.75,324.69
ATP6V0D2,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
ATP6V0E1,216.64,191.92,175.34,174.05,167.55,132.83,134.2,163.33,146.8,140.19
ATP6V0E2,6.96,27.32,53.24,27.45,40.97,29.39,24.14,19.58,30.06,28.63
ATP6V1A,51.29,49.01,33.53,34.12,27.39,29.5,23.85,29.78,26.31,43.22
ATP6V1B1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATP6V1B2,104.34,112.95,69.86,43.22,70.11,138.8,102.57,122.01,116.1,133.22
ATP6V1C1,6.19,6.85,3.12,4.83,1.75,2.14,6.36,7.8,4.28,4.51
ATP6V1C2,0.02,0.1,0.06,0.16,0.05,0.18,0.12,0.02,0.13,0.09
ATP6V1D,12.81,15.29,5.63,8.66,7.8,9.16,15.47,24.85,12.78,11.51
ATP6V1E1,49.34,60.76,53.46,59.26,46.92,43.66,43.94,52.15,56.61,46.0
ATP6V1E2,4.04,5.51,6.94,5.6,8.73,6.7,4.25,3.06,3.82,5.51
ATP6V1F,161.87,209.66,235.71,277.69,307.25,234.35,200.3,187.86,215.3,154.35
ATP6V1G1,38.28,55.95,54.33,55.59,49.3,39.5,65.1,64.22,54.93,57.91
ATP6V1G2,0.5,0.57,0.53,0.22,0.71,0.62,0.07,1.35,0.88,0.91
ATP6V1G2-DDX39B,7.88,0.83,5.57,1.82,5.7,2.37,0.71,0.0,1.49,1.95
ATP6V1G3,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATP6V1H,5.87,6.81,7.21,3.98,6.14,5.74,4.41,5.92,6.31,6.85
ATP7A,1.43,2.43,1.4,1.43,1.21,3.16,3.25,3.69,2.04,2.53
ATP7B,0.64,0.49,0.68,0.87,0.53,2.02,0.52,0.77,0.99,0.42
ATP8A1,3.39,4.65,4.18,6.11,2.19,4.57,5.35,5.74,4.1,3.94
ATP8A2,0.01,0.06,0.1,0.04,0.06,0.07,0.05,0.11,0.06,0.07
ATP8B1,0.48,0.84,0.64,0.05,0.66,0.24,0.43,0.03,0.25,0.39
ATP8B2,8.99,25.3,68.22,32.77,43.63,33.78,31.14,32.99,39.61,37.17
ATP8B3,1.87,2.02,3.2,1.97,2.47,2.27,2.05,2.01,2.98,2.33
ATP8B4,4.35,5.91,2.47,4.61,2.02,2.19,2.77,5.21,5.06,3.01
ATP8B5P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATP9A,4.48,1.47,1.4,3.11,1.33,1.66,1.26,1.74,2.23,1.03
ATP9B,5.16,10.92,11.38,12.65,7.06,10.53,7.93,12.0,8.12,8.61
ATPAF1,12.79,16.37,22.81,24.93,27.77,12.97,13.51,10.86,12.03,12.48
ATPAF2,19.08,30.42,33.16,29.83,48.24,28.45,21.0,23.43,24.95,22.39
ATPIF1,12.35,16.92,21.08,15.68,17.53,16.73,19.81,19.32,15.36,15.2
ATR,0.72,1.86,1.26,1.35,1.24,1.04,1.42,1.46,0.89,1.76
ATRAID,38.91,55.35,64.79,72.96,96.77,58.29,71.01,62.59,56.35,49.51
ATRIP,2.85,5.69,5.62,3.04,4.33,5.86,5.38,5.65,5.81,5.49
ATRN,5.1,8.4,8.76,8.02,10.88,7.35,3.89,3.82,4.76,7.05
ATRNL1,0.0,0.0,0.04,0.02,0.04,0.08,0.0,0.04,0.0,0.02
ATRX,3.86,6.36,4.76,6.06,3.25,5.82,6.18,11.71,3.78,11.89
ATXN1,36.36,45.9,44.1,32.08,43.88,44.71,37.6,42.93,37.05,54.15
ATXN10,11.44,17.91,22.08,19.82,22.38,13.55,15.39,15.83,15.18,16.23
ATXN1L,16.99,21.91,20.48,16.73,17.12,21.0,13.29,18.08,25.74,21.97
ATXN2,16.28,24.52,27.4,18.58,23.14,20.55,12.44,16.81,16.72,19.96
ATXN2-AS,0.18,0.1,0.1,0.59,0.2,0.32,0.62,0.19,0.68,0.22
ATXN2L,37.89,59.12,68.73,54.93,74.83,51.77,49.04,32.11,65.08,56.49
ATXN3,4.76,8.85,6.18,5.51,5.15,8.16,5.11,7.44,3.96,7.84
ATXN7,42.56,37.23,22.69,23.2,23.26,55.52,39.98,49.78,29.75,47.35
ATXN7L1,8.54,15.16,20.11,13.39,17.27,12.22,11.55,10.68,11.09,17.51
ATXN7L2,2.43,4.42,4.24,2.99,6.28,4.27,5.31,4.71,4.97,5.34
ATXN7L3,62.05,53.49,43.78,46.71,47.21,54.1,45.56,53.65,71.92,64.08
ATXN7L3B,7.28,11.49,16.63,8.8,16.39,11.62,10.9,10.46,11.94,12.29
